id;config_key;config_value;config_type
1;Clothing Niue;fault-tolerant program Ball;HASHICORP_VAULT
2;sky blue Generic Granite Mouse;Automotive Tasty Rubber Hat Infrastructure;AWS_SSM
3;mobile JBOD;Buckinghamshire Computer Borders;HASHICORP_VAULT
4;Books;microchip Devolved;AWS_SSM
5;Assistant New Leu transparent;open-source;STATIC
6;Hong Kong Japan;port Producer;HASHICORP_VAULT
7;Cape Verde Escudo policy;orchid;STATIC
8;Wallis and Futuna invoice;Chips;AWS_SSM
9;Awesome Soft Pizza Health bluetooth;synthesizing;STATIC
10;parsing;Baht Intranet;HASHICORP_VAULT
