id;config_key;config_value;config_type
1;Bedfordshire Circles Hong Kong;e-services Buckinghamshire;AWS_SSM
2;yellow;Glens XML User-centric;STATIC
3;protocol Specialist;ivory;STATIC
4;alliance Strategist;payment Salad logistical;HASHICORP_VAULT
5;Gorgeous Solutions SMTP;flexibility Up-sized;AWS_SSM
6;generating;Soft payment;AWS_SSM
7;Forge;Gloves;STATIC
8;FTP maroon;program Refined Wooden Keyboard;STATIC
9;e-markets;Re-engineered Credit Card Account Borders;HASHICORP_VAULT
10;generating Optimization Operations;Universal invoice Home;STATIC
