id;task_id;task_name;task_type;create_timestamp
1;77763;open-source Avon;S3COPY;2020-10-25T00:34:11
2;64737;Gloves Washington;SPARK_ON_EMR;2020-10-25T23:17:45
3;63818;withdrawal;SPARK_ON_KUBERNETES;2020-10-25T17:05:11
4;79438;Architect;SPARK_ON_KUBERNETES;2020-10-25T01:33:11
5;96296;Quality withdrawal;SFTP;2020-10-25T17:05:56
6;97652;hacking;S3COPY;2020-10-25T04:40:35
7;16189;backing up Ramp calculating;SPARK_ON_EMR;2020-10-25T12:10:52
8;9752;recontextualize Checking Account integrate;SHELL;2020-10-25T03:34:27
9;88253;Agent;SPARK_ON_DATABRICS;2020-10-25T00:23:07
10;26223;navigate Applications Dynamic;SPARK;2020-10-25T09:23:41
