id;config_key;config_value;config_type;config_version
1;Ridges Licensed Metal Table bypass;Alaska Cambridgeshire;Synchronised payment Danish Krone;Pizza
2;Metal Producer;Saint Pierre and Miquelon Awesome Wooden Chicken bypass;Small;deposit
3;overriding;silver Nauru multi-byte;Handmade Administrator;Gorgeous Frozen Computer
4;firewall Hat Ohio;Rubber Pennsylvania;International;infrastructures Incredible
5;multi-state;Intelligent Cotton Sausages Refined Frozen Bike green;Seychelles Rupee;Bahraini Dinar connect
6;Kentucky Human Albania;SSL Guadeloupe;Cambridgeshire wireless Universal;systems olive
7;Shoes Steel;Forint Saudi Riyal regional;local engineer Keyboard;payment SSL
8;Executive Division;Small Granite Pants Games Niger;International mindshare;Cross-group deposit
9;fuchsia bypass;Agent;Reduced;SSL Arizona
10;Illinois Brand District;Passage viral;Investment Account Land;alarm array eco-centric
